backend,backend_key,n,status,fit_s,loglik_s,predict_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Iterative-CUDA,iter-cuda,4000,ok,2.007895088987425,4.734637083951384,0.23985484399599954,16.313970764982514,2133.2280321971975,2133.2280321971975,True,0.04212476549976739,0.9991835292791585,0.012635163757043755,0.0006305909924677473
libKriging-Iterative-CUDA,iter-cuda,8000,ok,25.792627107002772,106.44557678396814,1.2222508740378544,138.57384607498534,9305.687779617961,9305.687779617961,True,0.02167121010493856,0.9997839113540443,0.055740303819358135,0.0008118176139801232
libKriging-Iterative-OpenMP,iter-omp,250,ok,0.024663400021381676,0.02693260199157521,0.028004980995319784,0.5189288199762814,-316.2156150857621,-316.2156150857621,True,0.47726703596669956,0.8951934315665581,0.0041009520204568165,0.00021876504700725426
libKriging-Iterative-OpenMP,iter-omp,500,ok,0.0356788850040175,0.04206087201600894,0.03590220003388822,0.7838946920237504,-458.72401148236634,-458.72401148236634,True,0.3401831229468421,0.9467534896713743,0.008995933196460783,0.0002673282275741404
libKriging-Iterative-OpenMP,iter-omp,1000,ok,0.0752533909981139,0.1224975649965927,0.07799862598767504,1.569941807014402,-510.84356257949344,-510.84356257949344,True,0.211090428073712,0.9794976943379979,0.002013792258575677,0.0009966366310234802
libKriging-Iterative-OpenMP,iter-omp,2000,ok,0.3698376860120334,0.8663089810288511,0.20756683399667963,9.137922302994411,-64.86221536730068,-64.86221536730068,True,0.09550463161804118,0.9958032365565211,0.002117716346971122,0.0008662766894759203
libKriging-Iterative-OpenMP,iter-omp,4000,ok,2.448331179039087,8.632655887049623,1.5748906689696014,29.555216672015376,2133.364134349792,2133.364134349792,True,0.04214562676520091,0.9991827204043924,0.01260113821889513,0.0007110540341751968
libKriging-Iterative-OpenMP,iter-omp,8000,ok,44.139945122995414,259.6443467329955,15.716230525984429,319.50231312797405,9305.957565481276,9305.957565481276,True,0.021666265077622232,0.9997840099588141,0.05570658058644381,0.00073282108067312
GPyTorch-BBMM-CUDA,gpt-cuda,250,ok,0.10768702195491642,0.11001779895741493,0.14431899698683992,1.946959335997235,-318.19635804991026,-1.2741843972103484,True,0.4772583592974741,0.8951972422787685,0.0038220198361357234,0.0003291247706388848
GPyTorch-BBMM-CUDA,gpt-cuda,500,ok,0.12689801101805642,0.1279702409519814,0.15919924096670002,2.2172491860110313,-463.19098723075285,-0.9917819218631017,True,0.3401791196699775,0.9467547428744542,6.198169968774892e-05,0.00029404213418155855
