backend,backend_key,n,status,fit_s,loglik_s,predict_s,update_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-BLAS,chol,250,ok,0.001457291014958173,0.0019444579957053065,0.0022326670004986227,0.0008728330140002072,0.041414499981328845,-317.2408530908763,-317.2408530908763,True,0.47726526621439047,0.8951942088308928,0.0,0.0
libKriging-Cholesky-BLAS,chol,500,ok,0.006296749983448535,0.008378750004339963,0.004613167024217546,0.0031960419728420675,0.14788191701518372,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-BLAS,chol,1000,ok,0.03247570799430832,0.04921812500106171,0.011412750056479126,0.018576417001895607,0.7498906249529682,-512.857354838069,-512.857354838069,True,0.21110003711061395,0.9794958277266366,0.0,0.0
libKriging-Cholesky-BLAS,chol,2000,ok,0.1323169160168618,0.22017212497303262,0.028002125036437064,0.06932887498987839,3.000610457966104,-60.62678267335866,-60.62678267335866,True,0.09552206631896436,0.9958017041492881,0.0,0.0
libKriging-Cholesky-BLAS,chol,4000,ok,0.6152312500053085,1.079659916984383,0.07073866698192433,0.2730580829665996,13.640962540986948,2183.7686872253735,2183.7686872253735,True,0.042143014974619745,0.9991828216958988,0.0,0.0
libKriging-Iterative-Metal,iter-metal,250,ok,0.01702650001971051,0.021409375010989606,0.004498500027693808,0.012503082980401814,0.4567804579855874,-316.2156901104555,-316.2156901104555,True,0.47726338274470104,0.895195036036036,0.004100651921683266,0.00019109941037833938
libKriging-Iterative-Metal,iter-metal,500,ok,0.024352000036742538,0.029920834000222385,0.0077997499611228704,0.023531458980869502,0.554891791951377,-458.72376934568535,-458.72376934568535,True,0.34018358552790934,0.9467533448620487,0.008996417469822745,0.00029008082804464334
libKriging-Iterative-Metal,iter-metal,1000,ok,0.06933799997204915,0.11035295901820064,0.013733957952354103,0.05452649999642745,1.5969752079690807,-510.8422447513965,-510.8422447513965,True,0.21109594574485935,0.9794966225086411,0.0020151100866725074,0.0003377797983742877
libKriging-Iterative-Metal,iter-metal,2000,ok,0.24816366599407047,0.5869819169747643,0.024974375031888485,0.19134670798666775,6.513844957982656,-64.8417288601031,-64.8417288601031,True,0.09553179031818308,0.9958008493456796,0.002107473093372221,0.0005391128850031789
libKriging-Iterative-Metal,iter-metal,4000,ok,1.1355423749773763,7.287045834003948,0.04705229203682393,0.6341644580243155,22.086635084007867,2133.2201814105283,2133.2201814105283,True,0.04212953454535414,0.9991833443994824,0.01263712645371129,0.0005639260658873791
libKriging-Iterative-OpenMP,iter-omp,250,ok,0.006174749985802919,0.006808334030210972,0.0028858750010840595,0.008696792006958276,0.16001066600438207,-316.2156150857621,-316.2156150857621,True,0.47726365717705876,0.895194915507696,0.0041009520204568165,0.00018687575307161898
libKriging-Iterative-OpenMP,iter-omp,500,ok,0.01200195896672085,0.013928041968028992,0.008149583009071648,0.012338333996012807,0.2935071249958128,-458.72407853840934,-458.72407853840934,True,0.34018110233957427,0.9467541222128437,0.008995799084374766,0.00028798223673786715
libKriging-Iterative-OpenMP,iter-omp,1000,ok,0.05535408400464803,0.07756925001740456,0.021787375037092716,0.05611512501491234,1.3480451250215992,-510.840374971614,-510.840374971614,True,0.21109671397001584,0.9794964732756561,0.002016979866455017,0.000411288815488687
libKriging-Iterative-OpenMP,iter-omp,2000,ok,0.2521773329935968,0.4748256669845432,0.06450400000903755,0.20600737497443333,6.271070749964565,-64.84544373686947,-64.84544373686947,True,0.09553232252124455,0.9958008025590119,0.002109330531755404,0.00036219726237708466
libKriging-Iterative-OpenMP,iter-omp,4000,ok,1.787207666959148,5.29908687499119,0.2122512090136297,0.9681833329959773,29.56145804200787,2133.3703610793737,2133.3703610793737,True,0.04215918671228471,0.9991821944162069,0.012599581536499954,0.0006303640414132723
