backend,backend_key,n,status,fit_s,loglik_s,predict_s,update_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-OpenBLAS,chol,250,ok,0.009677681999164633,0.010768603002361488,0.007857183998567052,0.004661273000237998,0.2570662590005668,-317.2408530908763,-317.2408530908763,True,0.4772652662143905,0.8951942088308928,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,500,ok,0.04176721100520808,0.047032480004418176,0.022633456996118184,0.01772988599987002,1.0164738530002069,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,1000,ok,0.15641534500173293,0.16990494100173237,0.04225789400516078,0.08084191499801818,3.1845963200030383,-512.8573548380691,-512.8573548380691,True,0.21110003711061393,0.9794958277266366,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,2000,ok,0.5418859830024303,0.5967479750033817,0.06827913699817145,0.34565488399675814,11.299473433995445,-60.62678267335809,-60.62678267335809,True,0.09552206631896412,0.9958017041492881,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,4000,ok,2.592135203005455,2.78793983200012,0.19844344900047872,1.6397753579949494,50.52926221499365,2183.7686872253726,2183.7686872253726,True,0.042143014974619586,0.9991828216958988,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,8000,ok,15.193105747996015,16.11068454600172,0.6823869360014214,11.153928498999448,62.36454586699983,9751.610210172825,9751.610210172825,True,0.021679653933697314,0.9997837429305018,0.0,0.0
libKriging-Iterative-CUDA,iter-cuda,250,ok,0.019730268999410328,0.02283845000056317,0.020283412995922845,0.018968554999446496,0.6044097580015659,-316.2156150857621,-316.2156150857621,True,0.47726365717705893,0.8951949155076959,0.0041009520204568165,0.00018687575306755233
libKriging-Iterative-CUDA,iter-cuda,500,ok,0.03164929600461619,0.045179603999713436,0.03990913899906445,0.052057540000532754,1.1307166070037056,-458.7240868068665,-458.7240868068665,True,0.3401804203556389,0.9467543357038145,0.008995782547460408,0.00027874441730724506
libKriging-Iterative-CUDA,iter-cuda,1000,ok,0.1258635949998279,0.30821260700031416,0.07062666099955095,0.13318139599869028,3.968478155002231,-510.84064472692364,-510.84064472692364,True,0.21109803697804702,0.9794962162710348,0.0020167101111454714,0.000521474607448399
libKriging-Iterative-CUDA,iter-cuda,2000,ok,0.26895080299436813,0.9217471340016345,0.11196350500540575,0.2674176360014826,9.55925608700636,-64.84511190407625,-64.84511190407625,True,0.09551898097308426,0.9958019753533379,0.0021091646153590772,0.0004912026552687959
