backend,backend_key,n,status,fit_s,loglik_s,predict_s,update_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Iterative-HIP,iter-hip,8000,ok,46.522966503000134,257.3011010549999,0.6526918999998088,20.955828790999476,375.23894241000016,9305.957565481276,9305.957565481276,True,0.02168037592497059,0.9997837285263681,0.05570658058644381,0.000936259801720384
libKriging-Iterative-Metal,iter-metal,250,ok,0.024709156999961124,0.026452179999978398,0.03392888300004415,0.02523944600034156,0.8348409589998482,-316.2156150857621,-316.2156150857621,True,0.47726365717705865,0.895194915507696,0.0041009520204568165,0.00018687575307598685
libKriging-Iterative-Metal,iter-metal,500,ok,0.034190938000392634,0.05206531200019526,0.029007595000621222,0.03396068599977298,1.0357491009999649,-458.72401148236634,-458.72401148236634,True,0.3401812183122418,0.9467540859082548,0.008995933196460783,0.00028953190571430324
libKriging-Iterative-Metal,iter-metal,1000,ok,0.08508814000015263,0.10847527599980822,0.05756543799998326,0.06627536100040743,2.080731396000374,-510.84356257949344,-510.84356257949344,True,0.2110913560674173,0.9794975140735247,0.002013792258575677,0.00023953531475519644
libKriging-Iterative-Metal,iter-metal,2000,ok,0.2981266130000222,0.6973532259999047,0.10271727199960878,0.23712275799971394,8.79631486299968,-64.86221536730068,-64.86221536730068,True,0.09552966082008361,0.9958010365500363,0.002117716346971122,0.00041242636292156273
libKriging-Iterative-Metal,iter-metal,4000,ok,2.735325188000388,8.820361973999752,0.2643734779994702,1.257237764999445,39.073747020000155,2133.364134349792,2133.364134349792,True,0.04215161494259406,0.9991824881448081,0.01260113821889513,0.0004652072518291918
libKriging-Iterative-Metal,iter-metal,8000,ok,47.4510548850003,257.1647617540002,0.6539318730001469,20.886422382999626,376.52918809699986,9305.957565481276,9305.957565481276,True,0.02168037592497059,0.9997837285263681,0.05570658058644381,0.000936259801720384
libKriging-Iterative-OpenMP,iter-omp,250,ok,0.024051013999269344,0.027512610000485438,0.014161674000206403,0.02502789399932226,0.7635445390005771,-316.2156150857621,-316.2156150857621,True,0.47726365717705865,0.895194915507696,0.0041009520204568165,0.00018687575307598685
libKriging-Iterative-OpenMP,iter-omp,500,ok,0.03392534500017064,0.04131769900050131,0.03349563299980218,0.03381176499988214,1.0314065110005686,-458.72401148236634,-458.72401148236634,True,0.3401812183122418,0.9467540859082548,0.008995933196460783,0.00028953190571430324
libKriging-Iterative-OpenMP,iter-omp,1000,ok,0.07256474499990873,0.11854438099999243,0.05799654800011922,0.06945576500038442,2.1741322409998247,-510.84356257949344,-510.84356257949344,True,0.2110913560674173,0.9794975140735247,0.002013792258575677,0.00023953531475519644
libKriging-Iterative-OpenMP,iter-omp,2000,ok,0.3056993509999302,0.6847451280000314,0.10939742799928354,0.24185182099972735,8.824985539000409,-64.86221536730068,-64.86221536730068,True,0.09552966082008361,0.9958010365500363,0.002117716346971122,0.00041242636292156273
libKriging-Iterative-OpenMP,iter-omp,4000,ok,2.7047627820002162,8.963483960999838,0.2603595379996477,1.2949186380001265,44.72920312199949,2133.364134349792,2133.364134349792,True,0.04215161494259406,0.9991824881448081,0.01260113821889513,0.0004652072518291918
libKriging-Iterative-OpenMP,iter-omp,8000,ok,47.78724735100059,251.01732342600008,0.6503834349996396,20.933028024000123,370.7648060729998,9305.957565481276,9305.957565481276,True,0.02168037592497059,0.9997837285263681,0.05570658058644381,0.000936259801720384
GPyTorch-BBMM-CUDA,gpt-cuda,250,ok,0.10157111399985297,0.10460654999951657,0.1327680419999524,,1.8197129029995267,-310.56174405514145,-1.243645941231273,True,0.4772583592974741,0.8951972422787685,0.026716436142939528,0.0003291247706388848
GPyTorch-BBMM-CUDA,gpt-cuda,500,ok,0.11877013299999817,0.12124382899946795,0.14566866800032585,,2.057760290999795,-503.03428673760163,-1.0714685208767991,True,0.3401791196699775,0.9467547428744542,0.07962461731400981,0.00029404213418155855
GPyTorch-BBMM-CUDA,gpt-cuda,1000,ok,0.18582064200018067,0.18929754300006607,0.17236322299959284,,2.886873972000103,-890.5204089640615,-1.1051324984063622,True,0.21110116098707893,0.97949560940154,0.3776630541259924,0.0002182277874383019
GPyTorch-BBMM-CUDA,gpt-cuda,2000,ok,0.7307839559998683,0.7389433830003327,0.2395118980002735,,8.76617750100013,-607.7533830089558,-0.7217248716689665,True,0.095518269025831,0.9958020379327529,0.2735633001677987,0.0005852839194747343
GPyTorch-BBMM-CUDA,gpt-cuda,4000,ok,4.778598510999473,4.79902326499996,0.5555971819994738,,12.853367320999496,1572.181493167061,-0.2735574846866957,True,0.04213314917343671,0.9991832042587031,0.15289679851457788,0.00028087049160169415
GPyTorch-BBMM-CUDA,gpt-cuda,8000,"error: OutOfMemoryError('CUDA out of memory. Tried to allocate 490.00 MiB. GPU 0 has a total capacity of 7.59 GiB of which 370.19 MiB is free. Including non-PyTorch memory, this process has 6.95 GiB memory in use. Of the allocated memory 5.79 GiB is allocated by PyTorch, and 458.22 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)')",,,,,98.29864871900008,,,,,,,
GPyTorch-BBMM-MKL,gpt-cpu,250,ok,0.06415121200006979,0.06576504999975441,0.07884880199981126,,1.143996763999894,-319.54576309323556,-1.2795820740470654,True,0.4772615428544935,0.8951958440982599,0.009219640009436944,0.00030903778775884423
GPyTorch-BBMM-MKL,gpt-cpu,500,ok,0.0791273140002886,0.0843653349993474,0.08428891800031124,,1.342522351000298,-496.9741606892949,-1.0593489990764038,True,0.3401845090409471,0.9467530557590521,0.06750436521739629,0.0003155961084439991
GPyTorch-BBMM-MKL,gpt-cpu,1000,ok,0.1539665789996434,0.17546043600032135,0.12007656100013264,,2.374405042000035,-868.7643286126407,-1.083375944188986,True,0.21110060417382565,0.9794957175686512,0.3559069737745716,0.0002869857618502814
