backend,backend_key,n,status,fit_s,loglik_s,predict_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-OpenBLAS,chol,250,ok,0.005379510985221714,0.005782744032330811,0.013289469992741942,0.12954148300923407,-317.2408530908763,-317.2408530908763,True,0.4772652662143905,0.8951942088308928,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,500,ok,0.023485987971071154,0.024720776011236012,0.012579376983921975,0.34392697596922517,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,1000,ok,0.1102428919984959,0.11216920200968161,0.023687809996772557,1.3051518690190278,-512.8573548380691,-512.8573548380691,True,0.21110003711061393,0.9794958277266366,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,2000,ok,0.4789077240275219,0.4857156060170382,0.052672457008156925,5.246268698014319,-60.626782673358434,-60.626782673358434,True,0.09552206631896415,0.9958017041492881,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,4000,ok,2.2768790220143273,2.359981718007475,0.16025968600297347,24.447131359018385,2183.7686872253726,2183.7686872253726,True,0.04214301497461961,0.9991828216958988,0.0,0.0
libKriging-Cholesky-OpenBLAS,chol,8000,ok,11.026005529041868,11.763634636008646,0.5464879630017094,25.798051810998004,9751.610210172827,9751.610210172827,True,0.021679653933697293,0.9997837429305018,0.0,0.0
libKriging-Iterative-CUDA,iter-cuda,250,ok,0.010757550015114248,0.011802862980403006,0.015995852008927613,0.335640017001424,-316.21562337082406,-316.21562337082406,True,0.4772670394696303,0.8951934300280896,0.004100918880209065,0.00021875144573510623
libKriging-Iterative-CUDA,iter-cuda,500,ok,0.015187969955150038,0.015247742994688451,0.019501242029946297,0.2969156230101362,-458.72714219221143,-458.72714219221143,True,0.34018545296522534,0.9467527602655665,0.008989671776770592,0.0002577984412843073
libKriging-Iterative-CUDA,iter-cuda,1000,ok,0.024992659979034215,0.03084006201243028,0.039987635042052716,0.5099379279999994,-510.8387984386182,-510.8387984386182,True,0.21109712907276648,0.979496392638885,0.0020185563994509154,0.0008414936111868885
libKriging-Iterative-CUDA,iter-cuda,2000,ok,0.09459564596181735,0.1171544129610993,0.07766160898609087,1.4889216810115613,-64.85227699033021,-64.85227699033021,True,0.09551192288072846,0.9958025957316261,0.002112747158485888,0.0006926528411355196
libKriging-Iterative-CUDA,iter-cuda,4000,ok,0.3741324690054171,0.5847506549907848,0.2031941440072842,5.890920929028653,2133.2471987662584,2133.2471987662584,True,0.04212813346695587,0.9991833987166975,0.012630372114778538,0.0004928779852548887
libKriging-Iterative-CUDA,iter-cuda,8000,ok,2.441125279990956,6.897631949046627,0.9558485529851168,24.021967222972307,9305.777500963422,9305.777500963422,True,0.02168551760832957,0.9997836259330088,0.05572908865117552,0.000557295337827247
libKriging-Iterative-OpenMP,iter-omp,250,ok,0.02553837699815631,0.04136132902931422,0.02297294302843511,0.654809624014888,-316.2156150857621,-316.2156150857621,True,0.47726703596669956,0.8951934315665581,0.0041009520204568165,0.00021876504700725426
libKriging-Iterative-OpenMP,iter-omp,500,ok,0.06502471101703122,0.05115402501542121,0.04324596596416086,1.101949300034903,-458.72401148236634,-458.72401148236634,True,0.3401831229468421,0.9467534896713743,0.008995933196460783,0.0002673282275741404
libKriging-Iterative-OpenMP,iter-omp,1000,ok,0.07815659698098898,0.127083720988594,0.08599637600127608,1.751951742975507,-510.84356257949344,-510.84356257949344,True,0.211090428073712,0.9794976943379979,0.002013792258575677,0.0009966366310234802
libKriging-Iterative-OpenMP,iter-omp,2000,ok,0.29148385097505525,0.6449111470137723,0.23528181202709675,7.404915587045252,-64.86221536730068,-64.86221536730068,True,0.09550463161804118,0.9958032365565211,0.002117716346971122,0.0008662766894759203
libKriging-Iterative-OpenMP,iter-omp,4000,ok,2.5029670349904336,8.331146338023245,1.5395289000007324,29.990983274998143,2133.364134349792,2133.364134349792,True,0.04214562676520091,0.9991827204043924,0.01260113821889513,0.0007110540341751968
libKriging-Iterative-OpenMP,iter-omp,8000,ok,43.39593027002411,244.8264281580341,15.633944502973463,303.8581461799913,9305.957565481276,9305.957565481276,True,0.021666265077622232,0.9997840099588141,0.05570658058644381,0.00073282108067312
GPyTorch-BBMM-CUDA,gpt-cuda,250,ok,0.10554403200512752,0.10845799400703982,0.13982065202435479,1.910661039990373,-326.2631344117042,-1.306451502657524,True,0.4772583592974741,0.8951972422787685,0.03608912528331143,0.0003291247706388848
GPyTorch-BBMM-CUDA,gpt-cuda,500,ok,0.1238718910026364,0.12568597501376644,0.1542948679998517,2.1646941259969026,-496.29456759078494,-1.0579890825831657,True,0.3401791196699775,0.9467547428744542,0.06614517902037642,0.00029404213418155855
GPyTorch-BBMM-CUDA,gpt-cuda,1000,ok,0.18963243102189153,0.19210036401636899,0.1791603390011005,2.98036891996162,-876.8849392836987,-1.0914970287259993,True,0.21110116098707893,0.97949560940154,0.3640275844456296,0.0002182277874383019
GPyTorch-BBMM-CUDA,gpt-cuda,2000,ok,0.7292366590118036,0.7378889980027452,0.24600757099688053,8.795535850978922,-601.8478844230883,-0.7187721223760327,True,0.095518269025831,0.9958020379327529,0.27061055087486496,0.0005852839194747343
GPyTorch-BBMM-CUDA,gpt-cuda,4000,ok,4.7637879949761555,4.821885621000547,0.5645775509765372,12.944892377010547,1564.9766333633866,-0.27535869963761433,True,0.04213314917343671,0.9991832042587031,0.1546980134654965,0.00028087049160169415
