backend,backend_key,n,status,fit_s,loglik_s,predict_s,wall_s,ll,ll_native,ll_comparable,rmse,q2,dloglik_n,dmean_rms
libKriging-Cholesky-BLAS,chol,250,ok,0.008699800004251301,0.008859000052325428,0.005461000022478402,0.12294929998461157,-317.2408530908763,-317.2408530908763,True,0.47726526621439047,0.8951942088308928,0.0,0.0
libKriging-Cholesky-BLAS,chol,500,ok,0.03202779998537153,0.03289709996897727,0.010905399918556213,0.39527729991823435,-463.2219780805967,-463.2219780805967,True,0.3401809738091629,0.946754162448549,0.0,0.0
libKriging-Cholesky-BLAS,chol,1000,ok,0.1726395000005141,0.14338340004906058,0.023649599985219538,1.8095478999894112,-512.8573548380691,-512.8573548380691,True,0.21110003711061393,0.9794958277266366,0.0,0.0
libKriging-Cholesky-BLAS,chol,2000,ok,0.6026262000668794,0.6431356999091804,0.06005690002348274,6.672901300014928,-60.626782673358434,-60.626782673358434,True,0.0955220663189642,0.9958017041492881,0.0,0.0
libKriging-Cholesky-BLAS,chol,4000,ok,2.9114036000100896,3.0163330000359565,0.17291929991915822,15.74336629989557,2183.7686872253726,2183.7686872253726,True,0.042143014974619725,0.9991828216958988,0.0,0.0
libKriging-Iterative-HIP,iter-hip,250,ok,0.21615629992447793,0.35325849999208003,0.01834670000243932,3.601234499947168,-316.215615085762,-316.215615085762,True,0.477267035098621,0.8951934319478136,0.004100952020457271,0.00021877300347005924
libKriging-Iterative-HIP,iter-hip,500,ok,0.7241560000693426,1.433528000023216,0.06585799995809793,11.12812600005418,-458.72418548501855,-458.72418548501855,True,0.3401850459872449,0.9467528876692574,0.008995585191156352,0.00027945019815979623
libKriging-Iterative-HIP,iter-hip,1000,ok,3.055539199966006,8.975310399895534,0.21952619997318834,13.132709800032899,-510.84373729453773,-510.84373729453773,True,0.21109237316738022,0.9794973164990877,0.0020136175435313815,0.0008539239258447263
libKriging-Iterative-HIP,iter-hip,2000,ok,13.322427499922924,59.38205979997292,1.215535999974236,78.78650839999318,-64.84976774648521,-64.84976774648521,True,0.09551289833141756,0.9958025099961144,0.0021114925365633896,0.000578126634047572
libKriging-Iterative-HIP,iter-hip,4000,ok,73.64923410001211,846.8447960000485,12.16435169999022,932.6597523000091,2133.371418158369,2133.371418158369,True,0.04212586291338115,0.9991834867380194,0.012599317266750858,0.0006596553490018807
libKriging-Iterative-OpenMP,iter-omp,250,ok,0.11164339992683381,0.08887269999831915,0.010056899976916611,1.712330300011672,-316.2156150857621,-316.2156150857621,True,0.4772670355477648,0.895193431750552,0.0041009520204568165,0.00021876951857089822
libKriging-Iterative-OpenMP,iter-omp,500,ok,0.23499689996242523,0.2491679999511689,0.029368999996222556,2.627165099955164,-458.72363162417594,-458.72363162417594,True,0.34017929264060226,0.9467546887272875,0.00899669291284158,0.00023145549240578985
libKriging-Iterative-OpenMP,iter-omp,1000,ok,0.27560690010432154,0.35996829997748137,0.07306379999499768,4.045298799988814,-510.84386928953654,-510.84386928953654,True,0.21109896452189558,0.9794960360874525,0.0020134855485325715,0.0007399486467192744
libKriging-Iterative-OpenMP,iter-omp,2000,ok,0.6565857999958098,1.289477700018324,0.31187890004366636,12.758447700063698,-64.87206150280258,-64.87206150280258,True,0.09551077663218603,0.9958026964779939,0.002122639414722073,0.0007853406000193666
libKriging-Iterative-OpenMP,iter-omp,4000,ok,3.352119499933906,12.784514799946919,2.0224427999928594,26.349409900023602,2133.1496048435856,2133.1496048435856,True,0.04212751871106318,0.9991834225490749,0.012654770595446735,0.0006544467006887574
